id,artist
TEST_00000,Camille Pissarro
TEST_00001,Amedeo Modigliani
TEST_00002,Pablo Picasso
TEST_00003,Albrecht Du rer
TEST_00004,Pablo Picasso
TEST_00005,Henri Matisse
TEST_00006,Vincent van Gogh
TEST_00007,Vincent van Gogh
TEST_00008,Vincent van Gogh
TEST_00009,Vincent van Gogh
TEST_00010,Pablo Picasso
TEST_00011,Rene Magritte
TEST_00012,Vincent van Gogh
TEST_00013,Edgar Degas
TEST_00014,Rene Magritte
TEST_00015,Pablo Picasso
TEST_00016,Frida Kahlo
TEST_00017,Amedeo Modigliani
TEST_00018,Giotto di Bondone
TEST_00019,Pierre-Auguste Renoir
TEST_00020,Peter Paul Rubens
TEST_00021,Pablo Picasso
TEST_00022,Pierre-Auguste Renoir
TEST_00023,Edgar Degas
TEST_00024,Paul Cezanne
TEST_00025,Pierre-Auguste Renoir
TEST_00026,Vincent van Gogh
TEST_00027,Pablo Picasso
TEST_00028,Rene Magritte
TEST_00029,Joan Miro
TEST_00030,Frida Kahlo
TEST_00031,Henri de Toulouse-Lautrec
TEST_00032,Diego Velazquez
TEST_00033,Paul Gauguin
TEST_00034,Vincent van Gogh
TEST_00035,Edgar Degas
TEST_00036,Paul Gauguin
TEST_00037,Andy Warhol
TEST_00038,Henri Matisse
TEST_00039,Salvador Dali
TEST_00040,Giotto di Bondone
TEST_00041,Sandro Botticelli
TEST_00042,Gustav Klimt
TEST_00043,Edgar Degas
TEST_00044,Pablo Picasso
TEST_00045,Paul Gauguin
TEST_00046,Diego Velazquez
TEST_00047,Francisco Goya
TEST_00048,Paul Klee
TEST_00049,Edgar Degas
TEST_00050,Mikhail Vrubel
TEST_00051,Vincent van Gogh
TEST_00052,Pierre-Auguste Renoir
TEST_00053,Pierre-Auguste Renoir
TEST_00054,Vincent van Gogh
TEST_00055,Amedeo Modigliani
TEST_00056,Raphael
TEST_00057,El Greco
TEST_00058,Pablo Picasso
TEST_00059,Leonardo da Vinci
TEST_00060,Hieronymus Bosch
TEST_00061,Paul Gauguin
TEST_00062,Amedeo Modigliani
TEST_00063,Vincent van Gogh
TEST_00064,Peter Paul Rubens
TEST_00065,Edgar Degas
TEST_00066,Vincent van Gogh
TEST_00067,Rembrandt
TEST_00068,Edgar Degas
TEST_00069,Jan van Eyck
TEST_00070,Edgar Degas
