id,artist
TEST_00000,Edgar Degas
TEST_00001,Amedeo Modigliani
TEST_00002,Raphael
TEST_00003,Albrecht Du rer
TEST_00004,Vincent van Gogh
TEST_00005,Henri Matisse
TEST_00006,Pablo Picasso
TEST_00007,Vincent van Gogh
TEST_00008,Edouard Manet
TEST_00009,Vincent van Gogh
TEST_00010,Paul Gauguin
TEST_00011,Rene Magritte
TEST_00012,Vincent van Gogh
TEST_00013,Edgar Degas
TEST_00014,Rene Magritte
TEST_00015,Frida Kahlo
TEST_00016,Diego Rivera
TEST_00017,Pablo Picasso
TEST_00018,Giotto di Bondone
TEST_00019,Pierre-Auguste Renoir
TEST_00020,Peter Paul Rubens
TEST_00021,Henri Rousseau
TEST_00022,Pierre-Auguste Renoir
TEST_00023,Francisco Goya
TEST_00024,Paul Cezanne
TEST_00025,Pierre-Auguste Renoir
TEST_00026,Vincent van Gogh
TEST_00027,Vincent van Gogh
TEST_00028,Rene Magritte
TEST_00029,Henri de Toulouse-Lautrec
TEST_00030,Frida Kahlo
TEST_00031,Diego Rivera
TEST_00032,Peter Paul Rubens
TEST_00033,Henri Matisse
TEST_00034,Vincent van Gogh
TEST_00035,Edgar Degas
TEST_00036,Paul Gauguin
TEST_00037,Andy Warhol
TEST_00038,Henri Matisse
TEST_00039,Titian
TEST_00040,Sandro Botticelli
TEST_00041,Diego Rivera
TEST_00042,Pierre-Auguste Renoir
TEST_00043,Edgar Degas
TEST_00044,Pablo Picasso
TEST_00045,Diego Velazquez
TEST_00046,Vincent van Gogh
TEST_00047,Rene Magritte
TEST_00048,Paul Klee
TEST_00049,Edgar Degas
TEST_00050,Camille Pissarro
TEST_00051,Vasiliy Kandinskiy
TEST_00052,Titian
TEST_00053,Gustave Courbet
TEST_00054,Diego Rivera
TEST_00055,Amedeo Modigliani
TEST_00056,Raphael
TEST_00057,El Greco
TEST_00058,Pablo Picasso
TEST_00059,Gustav Klimt
TEST_00060,Frida Kahlo
TEST_00061,Paul Gauguin
TEST_00062,Amedeo Modigliani
TEST_00063,Francisco Goya
TEST_00064,Peter Paul Rubens
TEST_00065,Edgar Degas
TEST_00066,Vincent van Gogh
TEST_00067,Rembrandt
TEST_00068,Edgar Degas
TEST_00069,Titian
TEST_00070,Edgar Degas
TEST_00071,Albrecht Du rer
TEST_00072,Sandro Botticelli
TEST_00073,Peter Paul Rubens
TEST_00074,Pierre-Auguste Renoir
TEST_00075,Mikhail Vrubel
TEST_00076,Edgar Degas
TEST_00077,Marc Chagall
TEST_00078,Kazimir Malevich
TEST_00079,Vincent van Gogh
TEST_00080,Paul Klee
TEST_00081,Hieronymus Bosch
TEST_00082,Edgar Degas
TEST_00083,Pierre-Auguste Renoir
TEST_00084,Vincent van Gogh
TEST_00085,Frida Kahlo
TEST_00086,Peter Paul Rubens
TEST_00087,Pieter Bruegel
TEST_00088,Vincent van Gogh
TEST_00089,Pablo Picasso
TEST_00090,Paul Klee
TEST_00091,Pierre-Auguste Renoir
TEST_00092,Camille Pissarro
TEST_00093,Henri Matisse
TEST_00094,Hieronymus Bosch
TEST_00095,Jackson Pollock
TEST_00096,Edvard Munch
TEST_00097,Camille Pissarro
TEST_00098,Pierre-Auguste Renoir
TEST_00099,Camille Pissarro
TEST_00100,Pierre-Auguste Renoir
TEST_00101,Joan Miro
TEST_00102,Henri Matisse
TEST_00103,Giotto di Bondone
TEST_00104,Raphael
TEST_00105,Titian
TEST_00106,Alfred Sisley
TEST_00107,Vincent van Gogh
TEST_00108,Alfred Sisley
TEST_00109,Albrecht Du rer
TEST_00110,Pierre-Auguste Renoir
TEST_00111,Paul Gauguin
TEST_00112,Edouard Manet
TEST_00113,Pablo Picasso
TEST_00114,Jan van Eyck
TEST_00115,Pierre-Auguste Renoir
TEST_00116,Rene Magritte
TEST_00117,Pablo Picasso
TEST_00118,Titian
TEST_00119,Claude Monet
TEST_00120,Andy Warhol
TEST_00121,Amedeo Modigliani
TEST_00122,Andrei Rublev
TEST_00123,William Turner
TEST_00124,Rene Magritte
TEST_00125,Peter Paul Rubens
TEST_00126,Leonardo da Vinci
TEST_00127,Vincent van Gogh
TEST_00128,Rembrandt
